SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,water_level
REGION,1901,5.1,5.2,9.7,23.2,47.0,164.9,271.5,194.2,137.3,52.9,27.3,9.4,1048.0
REGION,1902,4.6,4.6,9.1,23.6,54.5,146.9,267.3,205.7,138.9,48.4,27.4,9.2,1040.0
REGION,1903,5.4,4.8,10.5,23.7,50.6,161.2,260.2,188.3,163.7,52.1,27.2,10.2,1058.0
REGION,1904,5.4,5.0,10.3,23.1,48.5,136.2,255.7,198.7,138.6,49.8,22.9,10.5,1005.0
REGION,1905,5.3,4.6,10.2,26.7,48.4,143.9,228.0,212.3,135.6,47.3,23.7,10.0,996.0
REGION,1906,5.4,5.0,9.9,22.8,47.5,146.2,274.4,201.3,135.3,50.0,22.7,10.0,1030.0
REGION,1907,5.3,5.3,9.1,24.5,51.5,149.1,257.7,190.5,163.0,49.7,25.8,10.3,1042.0
REGION,1908,5.3,5.2,9.7,24.0,53.4,135.4,258.3,212.0,154.4,52.9,24.5,9.6,1045.0
REGION,1909,4.8,4.9,10.6,24.7,54.6,145.5,250.1,205.1,141.5,49.9,27.1,9.4,1028.0
REGION,1910,5.5,4.8,10.1,24.7,49.6,156.4,270.2,181.2,138.1,48.4,22.8,9.8,1021.0
REGION,1911,5.2,5.2,9.5,22.8,53.9,155.1,261.6,180.6,136.3,52.6,26.5,10.8,1020.0
REGION,1912,4.5,4.6,9.9,23.9,52.0,141.5,241.8,210.9,163.4,53.6,24.5,10.4,1041.0
REGION,1913,5.1,4.7,10.5,24.7,52.4,145.7,251.6,193.5,161.7,54.5,25.2,10.5,1040.0
REGION,1914,4.6,5.3,9.9,22.7,52.2,147.0,247.8,210.2,148.3,48.5,24.0,9.4,1030.0
REGION,1915,5.3,4.7,10.8,26.2,45.0,135.5,270.1,207.5,145.6,51.6,27.3,10.9,1041.0
REGION,1916,4.7,4.8,10.8,27.3,48.5,138.9,238.0,214.6,144.2,47.6,23.5,9.7,1012.0
REGION,1917,5.2,4.6,10.2,27.3,45.6,141.7,256.4,211.9,161.5,54.7,26.0,9.9,1055.0
REGION,1918,4.5,5.4,10.9,27.4,47.2,153.6,235.3,196.7,142.7,45.7,26.6,10.7,1007.0
REGION,1919,4.8,5.4,9.7,22.7,53.8,154.9,248.6,203.1,158.0,49.0,24.8,10.3,1045.0
REGION,1920,5.1,5.2,10.2,24.4,45.4,148.0,269.5,206.5,142.1,50.5,23.9,9.7,1040.0
REGION,1921,5.3,4.8,9.1,23.6,48.0,159.9,262.2,209.1,163.9,52.5,24.8,10.5,1074.0
REGION,1922,5.3,4.9,10.3,26.9,54.3,164.6,228.1,205.7,152.0,51.0,27.1,10.4,1041.0
REGION,1923,4.8,5.3,9.9,23.9,45.1,161.5,236.7,189.5,137.0,53.9,22.9,10.7,1001.0
REGION,1924,5.2,4.6,10.9,23.2,50.6,158.6,234.6,189.8,141.4,48.7,23.5,9.3,1000.0
REGION,1925,4.6,5.4,9.6,24.9,54.0,164.2,234.8,211.3,163.6,54.7,26.4,10.6,1064.0
REGION,1926,4.5,5.0,10.0,25.5,47.8,157.3,239.6,185.9,146.2,54.8,24.4,10.8,1012.0
REGION,1927,5.0,4.7,9.7,26.6,51.9,139.2,265.6,182.0,160.0,50.9,24.7,9.8,1030.0
REGION,1928,4.8,4.6,9.8,23.6,45.8,158.3,268.6,199.1,157.9,46.2,25.2,10.6,1054.0
REGION,1929,4.8,4.7,9.2,26.7,52.1,150.6,241.6,206.8,158.5,47.0,22.9,10.6,1035.0
REGION,1930,5.1,5.0,9.5,27.1,45.4,157.2,261.2,191.3,136.0,50.9,27.2,9.9,1026.0
REGION,1931,4.6,5.0,9.7,24.3,49.3,138.9,253.4,186.2,164.0,45.4,22.8,10.7,1014.0
REGION,1932,5.4,5.4,9.8,24.2,54.8,151.9,249.1,197.3,141.4,48.1,27.2,10.9,1026.0
REGION,1933,5.0,4.7,10.6,23.0,50.6,161.2,270.6,190.7,149.1,54.1,27.4,9.4,1057.0
REGION,1934,4.7,4.9,10.3,24.2,52.7,162.6,246.1,193.3,163.5,45.8,25.8,10.0,1044.0
REGION,1935,4.8,5.4,9.4,23.4,48.8,142.7,230.8,194.2,158.3,47.5,23.9,10.6,1000.0
REGION,1936,5.1,5.0,9.1,24.7,52.0,164.0,241.5,193.0,154.3,53.2,27.1,10.6,1039.0
REGION,1937,5.1,4.6,9.5,26.0,48.1,146.5,272.7,189.4,163.0,53.8,26.7,10.4,1056.0
REGION,1938,5.4,5.4,10.4,26.4,52.1,163.8,237.5,219.5,146.6,50.2,25.8,9.3,1052.0
REGION,1939,5.5,5.0,10.2,22.8,48.2,151.0,242.0,218.0,148.3,46.9,23.9,9.3,1031.0
REGION,1940,4.7,5.2,10.8,25.6,46.0,143.1,238.1,191.6,157.1,50.9,26.1,9.1,1008.0
REGION,1941,5.5,4.7,10.4,25.1,51.6,148.0,238.6,192.5,149.5,48.9,24.8,10.4,1010.0
REGION,1942,5.0,4.9,10.4,23.9,51.0,157.0,256.2,185.2,139.4,49.5,25.6,9.3,1017.0
REGION,1943,4.9,4.6,9.3,25.6,53.3,163.2,232.4,189.2,163.1,54.2,22.6,9.5,1032.0
REGION,1944,4.9,5.3,10.1,25.6,54.0,151.6,270.2,189.9,162.4,49.4,25.1,9.2,1058.0
REGION,1945,5.1,5.3,10.0,24.2,46.5,137.9,239.8,203.6,148.9,52.0,25.2,9.4,1008.0
REGION,1946,5.2,4.9,9.1,23.2,51.4,157.9,227.9,193.5,146.1,52.9,26.5,9.3,1008.0
REGION,1947,4.6,4.9,9.8,26.8,47.0,151.0,231.2,192.6,137.9,53.0,22.7,10.5,992.0
REGION,1948,5.3,4.5,10.5,23.2,51.0,141.7,226.8,199.4,144.1,51.0,23.3,9.2,990.0
REGION,1949,5.0,4.9,10.6,25.5,53.2,164.3,241.4,197.6,157.5,50.9,27.2,10.7,1049.0
REGION,1950,5.1,4.5,9.9,22.9,46.4,155.1,258.5,216.6,162.6,50.8,26.0,10.2,1069.0
REGION,1951,5.0,4.9,9.0,23.9,50.5,164.0,249.6,187.1,149.6,54.2,23.0,10.1,1031.0
REGION,1952,4.7,5.0,10.7,24.6,51.4,140.7,239.0,210.4,136.6,50.6,26.4,9.8,1010.0
REGION,1953,4.6,4.7,10.5,27.3,45.2,158.9,270.5,187.9,159.3,51.2,27.2,10.5,1058.0
REGION,1954,5.4,4.6,10.6,24.6,53.2,156.5,249.6,186.7,147.2,46.3,24.6,9.6,1019.0
REGION,1955,5.1,4.7,10.3,23.7,48.6,141.5,258.2,215.0,162.7,48.1,24.5,9.2,1052.0
REGION,1956,5.5,5.5,10.3,25.6,48.2,151.6,245.3,189.3,139.8,53.0,24.9,9.2,1008.0
REGION,1957,5.1,5.5,10.4,25.3,49.7,137.4,270.6,215.2,136.5,54.5,24.8,10.3,1045.0
REGION,1958,4.6,5.0,10.3,27.0,45.7,146.6,260.8,191.8,145.2,47.1,24.0,9.5,1018.0
REGION,1959,4.9,4.8,9.5,25.1,51.8,141.7,259.5,182.3,148.4,54.5,24.1,9.0,1016.0
REGION,1960,4.6,4.6,9.7,24.6,52.4,152.0,229.5,207.5,138.2,47.5,25.0,10.9,1007.0
REGION,1961,4.5,4.7,9.3,24.8,50.5,148.0,239.0,214.2,157.5,53.8,23.4,9.6,1039.0
REGION,1962,5.1,4.8,10.5,24.1,49.0,149.9,263.5,215.6,163.0,48.9,22.7,9.8,1067.0
REGION,1963,5.0,4.8,10.5,26.9,54.2,161.0,265.8,199.9,155.8,54.9,24.5,10.0,1073.0
REGION,1964,4.7,4.7,10.5,25.0,49.4,139.5,231.1,199.6,144.2,47.0,23.5,10.9,990.0
REGION,1965,5.3,4.9,10.9,25.2,53.0,148.3,270.4,219.7,158.6,50.2,24.7,10.4,1082.0
REGION,1966,5.3,5.4,10.3,25.6,51.5,161.4,267.6,218.0,158.6,53.0,23.0,10.7,1090.0
REGION,1967,4.6,4.7,10.5,26.3,45.6,144.6,273.4,217.2,139.1,54.0,26.2,9.8,1056.0
REGION,1968,5.0,4.8,10.0,24.5,45.5,151.0,268.9,187.4,156.8,52.4,26.1,9.0,1041.0
REGION,1969,4.9,5.3,10.6,27.1,51.0,158.2,243.5,183.3,137.0,51.9,26.2,10.5,1009.0
REGION,1970,4.9,5.0,10.8,24.4,46.8,152.8,263.4,218.0,153.2,54.0,24.0,11.0,1068.0
REGION,1971,5.3,5.2,9.1,26.0,54.7,149.3,260.3,195.5,136.1,47.0,26.0,10.4,1025.0
REGION,1972,4.7,4.7,9.2,26.2,47.5,152.2,239.2,184.4,145.0,52.5,27.0,9.6,1002.0
REGION,1973,4.8,4.6,10.6,24.6,46.2,156.4,258.9,203.8,159.4,50.0,26.0,10.4,1056.0
REGION,1974,4.6,5.1,11.0,25.8,47.0,138.7,270.0,204.7,152.0,47.1,25.3,9.8,1041.0
REGION,1975,4.7,4.9,10.0,25.1,51.6,157.0,246.3,203.7,152.6,54.7,23.6,10.8,1045.0
REGION,1976,4.7,5.3,9.1,23.6,46.5,136.7,263.6,186.3,142.7,45.8,24.4,9.2,998.0
REGION,1977,5.1,4.9,9.0,25.6,49.4,140.8,270.7,210.1,137.8,51.2,26.0,10.9,1042.0
REGION,1978,4.7,5.4,9.6,23.1,47.9,139.1,230.5,219.2,162.3,54.6,24.0,10.3,1031.0
REGION,1979,5.3,5.3,10.0,24.3,51.6,150.6,259.8,182.4,150.9,49.5,24.3,10.6,1025.0
REGION,1980,5.0,4.6,11.0,24.4,55.0,138.3,233.1,200.7,153.3,51.1,25.4,9.1,1011.0
REGION,1981,5.4,4.7,9.2,24.1,50.7,147.0,247.0,193.2,162.3,54.8,25.0,10.5,1034.0
REGION,1982,5.5,4.5,10.8,22.8,46.0,153.7,266.3,216.3,160.7,51.2,24.8,10.0,1073.0
