SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,water_level
REGION,1996,5.4,4.6,9.7,25.3,52.2,149.1,253.1,213.3,145.9,50.8,26.5,10.2,1046.0
REGION,1997,5.0,5.4,9.5,23.3,46.4,154.9,240.2,184.6,157.2,52.2,24.0,10.7,1013.0
REGION,1998,5.5,5.3,9.3,24.0,51.2,163.5,245.4,194.2,146.0,48.1,25.4,9.6,1028.0
REGION,1999,4.7,5.0,10.3,25.6,45.2,143.1,241.1,188.5,144.4,52.6,23.9,10.1,995.0
REGION,2000,5.1,5.4,10.5,24.6,49.3,154.7,270.3,188.1,144.9,54.9,23.2,9.4,1040.0
REGION,2001,5.1,5.4,10.7,27.1,48.4,144.8,267.6,202.5,157.5,48.4,24.5,9.9,1052.0
REGION,2002,5.1,4.6,9.1,27.2,45.3,164.3,251.6,197.1,152.0,53.5,24.8,9.9,1044.0
REGION,2003,4.7,5.1,9.1,24.6,45.8,137.8,272.8,197.8,141.8,51.2,25.9,9.5,1026.0
REGION,2004,5.1,4.8,9.0,23.8,49.5,155.4,237.1,199.2,139.3,50.6,26.8,9.1,1010.0
REGION,2005,4.6,4.7,9.1,25.7,49.7,147.8,226.0,198.7,151.0,46.2,27.3,10.1,1001.0
REGION,2006,5.3,5.1,10.6,23.0,48.0,142.5,264.3,196.0,150.6,51.3,26.1,10.8,1034.0
REGION,2007,4.6,5.2,9.5,23.7,49.9,138.9,249.8,210.0,146.5,45.8,27.3,10.2,1021.0
REGION,2008,5.1,5.5,10.6,26.5,46.4,139.1,239.1,193.4,140.8,47.9,25.8,10.1,990.0
REGION,2009,4.7,5.0,10.5,24.6,45.2,148.9,252.1,194.1,138.1,45.6,27.3,10.5,1007.0
REGION,2010,4.8,4.7,9.9,26.7,45.5,160.8,241.0,192.2,144.6,46.1,26.8,10.5,1014.0
REGION,2011,5.4,4.9,9.7,26.0,47.2,136.0,227.2,212.6,157.8,54.7,26.6,9.8,1018.0
REGION,2012,5.1,5.3,10.7,25.6,48.7,147.5,227.2,214.7,148.0,51.1,26.6,9.4,1020.0
REGION,2013,5.4,5.0,10.4,24.3,53.8,152.5,249.1,198.2,160.6,54.5,22.9,10.2,1047.0
REGION,2014,4.9,5.4,9.0,25.4,49.3,138.1,261.3,209.3,146.2,54.4,27.1,9.1,1039.0
REGION,2015,5.2,5.0,10.9,22.7,49.1,146.4,240.2,218.4,137.6,54.5,22.6,10.5,1023.0
REGION,2016,4.5,5.2,9.7,23.0,48.6,137.7,234.5,193.3,161.2,45.8,26.6,10.7,1001.0
REGION,2017,4.8,4.6,9.7,27.1,54.6,152.7,232.1,183.9,158.5,53.6,27.4,9.3,1018.0
REGION,2018,4.8,5.3,10.5,25.9,50.4,153.6,264.9,205.8,137.0,49.7,24.9,10.9,1044.0
REGION,2019,4.6,4.5,9.4,26.3,54.9,137.0,236.4,204.9,152.9,46.4,27.2,9.6,1014.0
REGION,2020,4.6,5.3,9.6,25.2,52.3,155.5,242.5,205.0,137.4,50.5,22.8,10.9,1022.0
REGION,2021,4.7,5.4,9.7,27.0,53.2,136.2,262.1,209.6,164.1,52.9,24.6,9.8,1059.0
REGION,2022,5.2,5.4,9.5,25.4,48.6,139.1,246.3,219.9,159.6,45.0,26.0,9.9,1040.0
REGION,2023,4.7,4.9,10.8,23.9,54.4,142.8,257.0,200.5,147.7,50.0,25.9,10.0,1033.0
REGION,2024,5.3,5.0,9.4,24.1,49.9,141.7,237.4,218.2,164.4,45.8,24.1,10.2,1035.0
REGION,2025,4.6,4.9,10.1,24.7,46.6,151.1,242.9,204.6,143.5,54.0,24.8,9.5,1021.0
